p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 152 - G57 Wine ,6 bts Vosne-Romanée J. Drouhin Les Chaumes 1er Cru   75cl   2005,,,,,,CHF 360 / 480 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101489/101489_l_1.jpg,€ 300 / 400 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 153 - G57 Wine ,6 bts Vosne-Romanée J. Drouhin Les Chaumes 1er Cru 75cl 2005,,,,,,CHF 360 / 480 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101498/101498_l_1.jpg,€ 300 / 400 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 154 - G57 Wine ,6 bts Vosne-Romanée J. Drouhin Les Chaumes 1er Cru 75cl 2005,,,,,,CHF 360 / 480 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101507/101507_l_1.jpg,€ 300 / 400 , 	 		 					 			 				Sold for CHF 437 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 155 - G57 Wine ,6 bts Vosne-Romanée J. Drouhin Les Chaumes 1er Cru 75cl 2005,,,,,,CHF 360 / 480 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101516/101516_l_1.jpg,€ 300 / 400 , 	 		 					 			 				Sold for CHF 633 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 224 - G57 Wine ,6 bts Clos de Vougeot J. Drouhin     75cl   2008,,,,,,CHF 540 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102122/102122_l_1.jpg,€ 450 / 600 , 	 		 					 			 				Sold for CHF 575 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 161 - G57 Wine ,6 bts Chambertin Clos de Bèze J. Drouhin 1er Cru   75cl   2006,,,,,,CHF 1 080 / 1 440 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101570/101570_l_1.jpg,€ 900 / 1 200 , 	 		 					 			 				Sold for CHF 805 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 162 - G57 Wine ,6 bts Chambertin Clos de Bèze J. Drouhin 1er Cru     75cl   2006,,,,,,CHF 1 080 / 1 440 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101579/101579_l_1.jpg,€ 900 / 1 200 , 	 		 					 			 				Sold for CHF 805 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 165 - G57 Wine ,6 bts Chambertin Clos de Bèze J. Drouhin 1er Cru   75cl   2008,,,,,,CHF 1 140 / 1 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101606/101606_l_1.jpg,€ 950 / 1 250 , 	 		 					 			 				Sold for CHF 1 093 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 241 - G57 Wine ,6 bts Listrac Ch. Clarke    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102270/102270_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 138 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 242 - G57 Wine ,6 bts Listrac Ch. Clarke    75cl  OWC6 2009,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102279/102279_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
