p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 291 - G57 Wine ,10 bts Saint-Julien Ch. Ducru Beaucaillou 2ème Grand Cru Classé   75cl   1978,,,,,,CHF 800 / 1 200 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102688/102688_l_1.jpg,€ 670 / 1 000 , 	 		 					 			 				Sold for CHF 805 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 292 - G57 Wine ,1 bt Saint-Julien Ch. Ducru Beaucaillou 2ème Grand Cru Classé   75cl   1978,,,,,,CHF 80 / 120 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102697/102697_l_1.jpg,€ 70 / 100 , 	 		 					 			 				Sold for CHF 127 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 420 - G57 Wine ,1 bt Saint-Emilion Ch. Pavie 1er Grand Cru Classé A   75cl   1985,,,,,,CHF 110 / 150 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103836/103836_l_1.jpg,€ 90 / 130 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 370 - G57 Wine ,3 bts Saint-Estèphe Ch. Montrose 2ème Grand Cru Classé   75cl   1986,,,,,,CHF 270 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103396/103396_l_1.jpg,€ 230 / 300 , 	 		 					 			 				Sold for CHF 345 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 506 - G57 Wine ,6 bts Toscane Isole e Olena Cepparello   75cl   1999,,,,,,CHF 360 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104558/104558_l_1.jpg,€ 300 / 450 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 507 - G57 Wine ,6 bts Toscane Isole e Olena Cepparello    75cl   1999,,,,,,CHF 360 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104567/104567_l_1.jpg,€ 300 / 450 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 508 - G57 Wine ,6 bts Toscane Isole e Olena Cepparello  75cl   1999,,,,,,CHF 360 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104576/104576_l_1.jpg,€ 300 / 450 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 505 - G57 Wine ,11 bts Toscane Isole e Olena Cepparello    75cl   1999,,,,,,CHF 660 / 990 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104549/104549_l_1.jpg,€ 550 / 830 , 	 		 					 			 				Sold for CHF 518 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 503 - G57 Wine ,6 bts Toscane Isole e Olena Cepparello    75cl   1998,,,,,,CHF 360 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104532/104532_l_1.jpg,€ 300 / 450 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 504 - G57 Wine ,10 bts Toscane Isole e Olena Cepparello   75cl   1998,,,,,,CHF 600 / 900 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104540/104540_l_1.jpg,€ 500 / 750 , 	 		 					 			 				Sold for CHF 460 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 438 - G57 Wine ,6 bts Pessac-Léognan Ch. Haut-Brion 1er Grand Cru Classé 75cl 1956 étiquettes sales,,,,,,CHF 2 000 / 2 800 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/82426/82426_l_1.jpg,€ 1 670 / 2 330 , 	 		 					 			 				Sold for CHF 2 300 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 439 - G57 Wine ,"4 bts Pessac-Léognan Ch. Haut-Brion 1er Grand Cru Classé 75cl 1958, étiquettes sales et abimées",,,,,,CHF 700 / 1 000 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/82435/82435_l_1.jpg,€ 580 / 830 , 	 		 					 			 				Sold for CHF 1 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 440 - G57 Wine ,9 bts Pessac-Léognan Ch. Haut-Brion 1er Grand Cru Classé 75cl 1960 étiquettes sales,,,,,,CHF 1 500 / 2 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/82444/82444_l_1.jpg,€ 1 250 / 2 080 , 	 		 					 			 				Sold for CHF 2 300 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 191 - G57 Wine ,"3 bts Domaine Perrot-Minot : 1 bt Chambolle-Musigny 1er Cru Les Fuées / Vieilles Vignes 2010, 1 bt Chapelle-Chambertin Grand Cru Vie...",,,,,,CHF 250 / 300 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101833/101833_l_1.jpg,€ 210 / 250 , 	 		 					 			 				Sold for CHF 414 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 500 - G57 Wine ,"4 bts Châteauneuf-du-Pape 75cl: 1 bt Domaine Beaucastel 2001, 2 bts Domaine Marcoux 2007 Vieilles Vignes, 1 bt Domaine Tardieu-Laure...",,,,,,CHF 250 / 350 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104507/104507_l_1.jpg,€ 210 / 290 , 	 		 					 			 				Sold for CHF 345 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 502 - G57 Wine ,1 bt Châteauneuf-du-Pape de La Mordorée La Plume du Peintre / Eternité 75cl 2003,,,,,,CHF 200 / 300 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104523/104523_l_1.jpg,€ 170 / 250 , 	 		 					 			 				Sold for CHF 184 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 249A - G57 Wine ,12 bts Haut-Médoc Ch. La Tour Carnet 4ème Grand Cru Classé 75cl 1996,,,,,,CHF 180 / 300 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102333/102333_l_1.jpg,€ 150 / 250 , 	 		 					 			 				Sold for CHF 276 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 317 - G57 Wine ,11 bts Pauillac Ch. Pichon-Longueville Comtesse de Lalande 2ème Grand Cru Classé 75cl 1953 4 TS + 7 MS,,,,,,CHF 1 500 / 2 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102921/102921_l_1.jpg,€ 1 250 / 2 080 , 	 		 					 			 				Sold for CHF 1 495 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 470 - G57 Wine ,1 bt Sauternes Ch. d'Yquem 1er Grand Cru Classé Supérieur BLANC 75cl  1967,,,,,,CHF 900 / 1 200 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104250/104250_l_1.jpg,€ 750 / 1 000 , 	 		 					 			 				Sold for CHF 805 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 471 - G57 Wine ,1 bt Sauternes Ch. d'Yquem 1er Grand Cru Classé Supérieur BLANC 75cl  1976,,,,,,CHF 400 / 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104259/104259_l_1.jpg,€ 330 / 420 , 	 		 					 			 				Sold for CHF 506 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 267 - G57 Wine ,"2 bts: 1 bt Margaux Ch. Giscours 3ème 75cl  1975, 1 bt Margaux Ch. Rauzan-Gassies 75cl 1978",,,,,,CHF 110 / 150 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102470/102470_l_1.jpg,€ 90 / 130 , 	 		 					 			 				Sold for CHF 127 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 282 - G57 Wine ,"2 bts: 1 bt Margaux Ch. Giscours 75cl   1961, 1 bt Pessac-Léognan Ch. Haut-Brion 75cl 1961",,,,,,CHF 1 400 / 1 860 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102606/102606_l_1.jpg,€ 1 170 / 1 550 , 	 		 					 			 				Sold for CHF 1 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 442 - G57 Wine ,"4 bts: 1 bt Pessac-Léognan Ch. Haut-Brion 75cl   1966, 1 bt Saint-Julien Ch. Léoville-Poyferré 75cl   1966, 1 bt Saint-Emilion Ch. A...",,,,,,CHF 680 / 900 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104000/104000_l_1.jpg,€ 570 / 750 , 	 		 					 			 				Sold for CHF 863 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 318 - G57 Wine ,"2 bts: 1 bt Pauillac Ch. Mouton Rothschild 1er Grand Cru Classé   75cl   1970, 1 bt Saint-Estèphe Ch. Cos d'Estournel 2ème Grand Cru...",,,,,,CHF 280 / 390 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102930/102930_l_1.jpg,€ 230 / 330 , 	 		 					 			 				Sold for CHF 403 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 509 - G57 Wine ,"5 bts: 1 bt Ribera del Duero Bodegas Vega Sicilia Unico  75cl   1967, 4 bts Ribera del Duero Bodegas Vega Sicilia Tinto Valbuena  75...",,,,,,CHF 580 / 800 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104585/104585_l_1.jpg,€ 480 / 670 , 	 		 					 			 				Sold for CHF 1 035 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 289 - G57 Wine ,"4 bts: 1 bt Saint-Julien Ch. Gruaud Larose 2ème 75cl 1967, 3 bts Saint-Julien Ch. Gruaud Larose 2ème 75cl 1971",,,,,,CHF 160 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102671/102671_l_1.jpg,€ 130 / 200 , 	 		 						 				 					Sold for CHF 120 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 295 - G57 Wine ,"4 bts: 1 bt Saint-Julien Ch. Talbot 75cl   1979, 3 bts Saint-Emilion Ch. Clos Fourtet 75cl   1979",,,,,,CHF 135 / 200 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102724/102724_l_1.jpg,€ 110 / 170 , 	 		 					 			 				Sold for CHF 196 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 268 - G57 Wine ,"4 bts: 2 bts Margaux Ch. Boyd-Cantenac 75cl   1975, 1 bt Saint-Julien Ch. Lagrange 75cl   1978, 1 bt Saint-Emilion Ch. Canon-La-Gaff...",,,,,,CHF 135 / 200 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102479/102479_l_1.jpg,€ 110 / 170 , 	 		 					 			 				Sold for CHF 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 329 - G57 Wine ,"5 bts: 3 bts Pauillac Ch. Grand-Puy Ducasse 75cl   1981, 2 bts Saint-Julien Ch. Lagrange 75cl   1981",,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103034/103034_l_1.jpg,€ 100 / 150 , 	 		 						 				 					Sold for CHF 90 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 445 - G57 Wine ,"4 bts: 1 bt Pessac-Léognan Ch. Larrivet Haut-Brion 75cl 1985, 2 bts Pomerol Ch. Beauregard 75cl   1985, 1 bt Saint-Emilion Ch. Canon...",,,,,,CHF 170 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104027/104027_l_1.jpg,€ 140 / 180 , 	 		 					 			 				Sold for CHF 138 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 172 - G57 Wine ,"11 bts: 2 bts Chambertin Clos de Bèze Domaine Pierre Damoy Grand Cru   75cl   1972, 3 bts Pommard Domaine F. Gaunoux  Les Epenots  7...",,,,,,CHF 660 / 800 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101663/101663_l_1.jpg,€ 550 / 670 , 	 		 					 			 				Sold for CHF 518 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 149 - G57 Wine ,8 bts Vosne-Romanée Domaine François Gerbet 1er Cru Les petits Monts  75cl   1979,,,,,,CHF 400 / 560 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101464/101464_l_1.jpg,€ 330 / 470 , 	 		 					 			 				Sold for CHF 345 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 130 - G57 Wine ,"5 bts: 3 bts Pommard Domaine Michel Gaunoux  Grands Epenots  75cl   1973, 2 bts Chambolle-Musigny Domaine M. Zibetti    75cl   1983",,,,,,CHF 160 / 230 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101296/101296_l_1.jpg,€ 130 / 190 , 	 		 					 			 				Sold for CHF 161 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 513 - G57 Wine ,"5 bts: 1 bt Amarone Classico Bolla DOC   75cl   1962, 1 bt Amarone Recioto della Valpolicella  Bertani    75cl   1968, 1 bt Amarone...",,,,,,CHF 265 / 365 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104630/104630_l_1.jpg,€ 220 / 300 , 	 		 					 			 				Sold for CHF 299 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 140 - G57 Wine ,11 bts Beaune Domaine François Gaunoux 1er Cru Clos des Mouches  75cl   1985,,,,,,CHF 440 / 660 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101386/101386_l_1.jpg,€ 370 / 550 , 	 		 					 			 				Sold for CHF 414 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 378 - G57 Wine ,6 bts Saint-Estèphe Ch. Lafon Rochet 4ème Grand Cru Classé  75cl OWC6 2001,,,,,,CHF 150 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103468/103468_l_1.jpg,€ 130 / 180 , 	 		 					 			 				Sold for CHF 184 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 379 - G57 Wine ,6 bts Saint-Estèphe Ch. Lafon Rochet 4ème Grand Cru Classé  75cl OWC6 2001,,,,,,CHF 150 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103477/103477_l_1.jpg,€ 130 / 180 , 	 		 					 			 				Sold for CHF 196 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 426 - G57 Wine ,12 bts Saint-Emilion Ch. Canon 1er Grand Cru Classé B  75cl OWC12 2004,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103887/103887_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 633 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 427 - G57 Wine ,12 bts Saint-Emilion Ch. Canon 1er Grand Cru Classé B  75cl OWC12 2004,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103895/103895_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 575 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 256 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé  75cl OWC12 2006,,,,,,CHF 420 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102392/102392_l_1.jpg,€ 350 / 500 , 	 		 					 			 				Sold for CHF 506 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 255 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé  75cl OWC12 2004,,,,,,CHF 420 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102383/102383_l_1.jpg,€ 350 / 500 , 	 		 					 			 				Sold for CHF 518 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 312 - G57 Wine ,12 bts Saint-Julien Ch. Gruaud Larose 2ème Grand Cru Classé  75cl OWC12 2004,,,,,,CHF 480 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102876/102876_l_1.jpg,€ 400 / 500 , 	 		 					 			 				Sold for CHF 690 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 313 - G57 Wine ,12 bts Saint-Julien Ch. Gruaud Larose 2ème Grand Cru Classé  75cl OWC12 2004,,,,,,CHF 480 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102885/102885_l_1.jpg,€ 400 / 500 , 	 		 					 			 				Sold for CHF 690 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 475 - G57 Wine ,1 D-mag Sauternes Ch. d'Yquem 1er Grand Cru Classé Supérieur BLANC 3L OWC1 1991,,,,,,CHF 800 / 1 100 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104295/104295_l_1.jpg,€ 670 / 920 , 	 		 					 			 				Sold for CHF 978 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,004,Lot 425 - G57 Wine ,"6 bts: 2 bts Saint-Emilion Ch. Figeac  75cl   2002, 2 bts Saint-Emilion Ch. Figeac  75cl   2003, 2 bts Saint-Emilion Ch. Figeac  75c...",,,,,,CHF 440 / 560 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103879/103879_l_1.jpg,€ 370 / 470 , 	 		 					 			 				Sold for CHF 495 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 496 - G57 Wine ,"6 bts Côte Rôtie Guigal 75cl: La Landonne 1x2000, 1x2001, La Mouline 1x2000, 1x2001, La Turque 1x2000, 1x2001",,,,,,CHF 1 130 / 1 390 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104480/104480_l_1.jpg,€ 940 / 1 160 , 	 		 					 			 				Sold for CHF 1 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 120 - G57 Wine ,"6 bts: 2 bts Meursault Bouchard P&F Les Perrières   BLANC 75cl   2005, 2 bts Meursault J. Drouhin Les Charmes   BLANC 75cl   2005, 2...",,,,,,CHF 260 / 380 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101210/101210_l_1.jpg,€ 220 / 320 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 105 - G57 Wine ,"4 bts Pouilly Fumé Didier Dagueneau Silex BLANC 75cl: 1x2008, 1x2007, 1x2006, 1x2005",,,,,,CHF 380 / 500 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/101077/101077_l_1.jpg,€ 320 / 420 , 	 		 					 			 				Sold for CHF 322 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 423 - G57 Wine ,"3 bts: 1 bt Saint-Emilion Ch. Angélus 75cl 1994, 1 bt Saint-Estèphe Ch. Montrose 75cl 1986, 1 bt Pauillac Ch. Lafite-Rothschild 75cl...",,,,,,CHF 595 / 790 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103863/103863_l_1.jpg,€ 500 / 660 , 	 		 					 			 				Sold for CHF 575 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 444 - G57 Wine ,"7 bts: 3 bts Pessac-Léognan Ch. Haut-Brion 75cl   1978, 3 bts Pessac-Léognan Ch. Haut-Brion 75cl   1986, 1 bt Saint-Julien Ch. Ducru...",,,,,,CHF 1 600 / 2 200 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104018/104018_l_1.jpg,€ 1 330 / 1 830 , 	 		 					 			 				Sold for CHF 1 840 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 226 - G57 Wine ,"2 bts: 1 bt Pauillac Ch. Lynch-Bages 75cl   1996, 1 bt Pomerol Ch. L' Evangile    75cl   1996",,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103105/103105_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 242 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 452 - G57 Wine ,12 bts Pessac-Léognan Ch. Smith Haut Lafitte Grand Cru Classé  BLANC 75cl  OWC12 1999,,,,,,CHF 480 / 660 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104090/104090_l_1.jpg,€ 400 / 550 , 	 		 					 			 				Sold for CHF 552 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 453 - G57 Wine ,12 bts Pessac-Léognan Ch. Smith Haut Lafitte Grand Cru Classé  BLANC 75cl  OWC12 1999,,,,,,CHF 480 / 660 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104099/104099_l_1.jpg,€ 400 / 550 , 	 		 					 			 				Sold for CHF 506 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 252 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé   75cl  OWC12 1999,,,,,,CHF 420 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102360/102360_l_1.jpg,€ 350 / 500 , 	 		 					 			 				Sold for CHF 748 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 253 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé   75cl  OWC12 1999,,,,,,CHF 420 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102369/102369_l_1.jpg,€ 350 / 500 , 	 		 					 			 				Sold for CHF 748 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 254 - G57 Wine ,12 bts Haut-Médoc Ch. La Lagune 3ème Grand Cru Classé   75cl  OWC12 1999,,,,,,CHF 420 / 600 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102375/102375_l_1.jpg,€ 350 / 500 , 	 		 					 			 				Sold for CHF 805 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 261 - G57 Wine ,12 bts Brane Cantenac. Ch. Brane-Cantenac 2ème Grand Cru Classé 75cl OWC12 1975,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102416/102416_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 506 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 262 - G57 Wine ,12 bts Brane Cantenac. Ch. Brane-Cantenac 2ème Grand Cru Classé 75cl OWC12 1975,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102425/102425_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 506 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 278 - G57 Wine ,12 bts Margaux Ch. Pavillon Rouge du Ch. Margaux Second Vin   75cl  OWC12 1996,,,,,,CHF 960 / 1 380 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102570/102570_l_1.jpg,€ 800 / 1 150 , 	 		 					 			 				Sold for CHF 1 265 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 279 - G57 Wine ,12 bts Margaux Ch. Pavillon Rouge du Ch. Margaux Second Vin   75cl  OWC12 1999,,,,,,CHF 780 / 1 140 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102579/102579_l_1.jpg,€ 650 / 950 , 	 		 					 			 				Sold for CHF 1 265 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 263 - G57 Wine ,12 bts Brane Cantenac. Ch. Brane-Cantenac 2ème Grand Cru Classé 75cl OWC12 1975,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102434/102434_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 552 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 264 - G57 Wine ,12 bts Brane Cantenac. Ch. Brane-Cantenac 2ème Grand Cru Classé 75cl OWC12 1975,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102443/102443_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 552 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 428 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103903/103903_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 460 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 429 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103911/103911_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 483 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 430 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103920/103920_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 495 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 431 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103929/103929_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 432 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103938/103938_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 380 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 434 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103956/103956_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 368 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 435 - G57 Wine ,6 bts Saint-Emilion Ch. Trottevieille 1er Grand Cru Classé B   75cl  OWC6 2005,,,,,,CHF 360 / 420 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103965/103965_l_1.jpg,€ 300 / 350 , 	 		 					 			 				Sold for CHF 368 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 284 - G57 Wine ,12 bts Margaux Ch. Marquis de Terme 4ème Grand Cru Classé   75cl  OWC12 2006,,,,,,CHF 420 / 540 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102624/102624_l_1.jpg,€ 350 / 450 , 	 		 					 			 				Sold for CHF 460 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
